Channel,Energy (keV),Counts
1250,507.52342,2190
1251,507.927035,3407
1252,508.33065,4477
1253,508.734265,5567
1254,509.13788,6448
1255,509.541495,6147
1256,509.94511,5665
1257,510.348725,4548
1258,510.75234,3267
1259,511.155955,2254
1260,511.55957,1509
1261,511.963185,983
1262,512.3668,724
1263,512.770415,577
1264,513.17403,463
1265,513.577645,369
1266,513.98126,327
1267,514.384875,252
1268,514.78849,229
1269,515.192105,186
1270,515.59572,157
1271,515.999335,151
1272,516.40295,116
1273,516.806565,103
1274,517.21018,72
1275,517.613795,74
1276,518.01741,72
1277,518.421025,66
1278,518.82464,47
1279,519.228255,56
1280,519.63187,47
1281,520.035485,47
1282,520.4391,38
1283,520.842715,50
1284,521.24633,36
1285,521.649945,43
1286,522.05356,34
1287,522.457175,32
1288,522.86079,41
1289,523.264405,43
1290,523.66802,28
1291,524.071635,38
1292,524.47525,45
1293,524.878865,36
1294,525.28248,44
1295,525.686095,32
1296,526.08971,36
1297,526.493325,22
1298,526.89694,47
1299,527.300555,40
1300,527.70417,32
1301,528.107785,40
1302,528.5114,38
1303,528.915015,36
1304,529.31863,31
1305,529.722245,33
1306,530.12586,38
1307,530.529475,37
1308,530.93309,34
1309,531.336705,35
1310,531.74032,33
1311,532.143935,41
1312,532.54755,34
1313,532.951165,31
1314,533.35478,41
1315,533.758395,44
1316,534.16201,44
1317,534.565625,25
1318,534.96924,22
1319,535.372855,42
1320,535.77647,24
1321,536.180085,24
1322,536.5837,30
1323,536.987315,31
1324,537.39093,26
1325,537.794545,21
1326,538.19816,35
1327,538.601775,27
1328,539.00539,30
1329,539.409005,32
1330,539.81262,31
1331,540.216235,30
1332,540.61985,24
1333,541.023465,36
1334,541.42708,25
1335,541.830695,38
1336,542.23431,26
1337,542.637925,28
1338,543.04154,25
1339,543.445155,23
1340,543.84877,31
1341,544.252385,30
1342,544.656,27
1343,545.059615,27
1344,545.46323,23
1345,545.866845,39
1346,546.27046,28
1347,546.674075,31
1348,547.07769,31
1349,547.481305,29
1350,547.88492,25
1351,548.288535,34
1352,548.69215,17
1353,549.095765,31
1354,549.49938,19
1355,549.902995,21
1356,550.30661,18
1357,550.710225,26
1358,551.11384,26
1359,551.517455,24
1360,551.92107,24
1361,552.324685,16
1362,552.7283,19
1363,553.131915,28
1364,553.53553,27
1365,553.939145,37
1366,554.34276,26
1367,554.746375,23
1368,555.14999,16
1369,555.553605,22
1370,555.95722,20
1371,556.360835,22
1372,556.76445,16
1373,557.168065,22
1374,557.57168,23
1375,557.975295,29
1376,558.37891,20
1377,558.782525,21
1378,559.18614,22
1379,559.589755,27
1380,559.99337,20
1381,560.396985,30
1382,560.8006,19
1383,561.204215,27
1384,561.60783,16
1385,562.011445,21
1386,562.41506,21
1387,562.818675,21
1388,563.22229,26
1389,563.625905,25
1390,564.02952,25
1391,564.433135,30
1392,564.83675,25
1393,565.240365,28
1394,565.64398,32
1395,566.047595,26
1396,566.45121,18
1397,566.854825,21
1398,567.25844,24
1399,567.662055,26
1400,568.06567,24
1401,568.469285,22
1402,568.8729,24
1403,569.276515,17
1404,569.68013,21
1405,570.083745,22
1406,570.48736,25
1407,570.890975,21
1408,571.29459,26
1409,571.698205,18
1410,572.10182,37
1411,572.505435,21
1412,572.90905,20
1413,573.312665,31
1414,573.71628,18
1415,574.119895,24
1416,574.52351,30
1417,574.927125,24
1418,575.33074,24
1419,575.734355,18
1420,576.13797,28
1421,576.541585,31
1422,576.9452,19
1423,577.348815,17
1424,577.75243,17
1425,578.156045,21
1426,578.55966,24
1427,578.963275,26
1428,579.36689,33
1429,579.770505,19
1430,580.17412,21
1431,580.577735,19
1432,580.98135,23
1433,581.384965,22
1434,581.78858,17
1435,582.192195,29
1436,582.59581,20
1437,582.999425,22
1438,583.40304,20
1439,583.806655,21
1440,584.21027,17
1441,584.613885,17
1442,585.0175,22
1443,585.421115,28
1444,585.82473,15
1445,586.228345,18
1446,586.63196,16
1447,587.035575,26
1448,587.43919,24
1449,587.842805,17
1450,588.24642,21
1451,588.650035,22
1452,589.05365,25
1453,589.457265,20
1454,589.86088,17
1455,590.264495,27
1456,590.66811,21
1457,591.071725,20
1458,591.47534,14
1459,591.878955,21
1460,592.28257,14
1461,592.686185,25
1462,593.0898,15
1463,593.493415,24
1464,593.89703,20
1465,594.300645,30
1466,594.70426,35
1467,595.107875,30
1468,595.51149,16
1469,595.915105,15
1470,596.31872,21
1471,596.722335,23
1472,597.12595,12
1473,597.529565,18
1474,597.93318,26
1475,598.336795,23
1476,598.74041,20
1477,599.144025,25
1478,599.54764,18
1479,599.951255,12
1480,600.35487,22
1481,600.758485,13
1482,601.1621,16
1483,601.565715,18
1484,601.96933,22
1485,602.372945,15
1486,602.77656,16
1487,603.180175,15
1488,603.58379,20
1489,603.987405,16
1490,604.39102,17
1491,604.794635,21
